시설 코드,시설 명,업종,주변 시설1,위도,경도
1,어달해수욕장,일반,어달을 담다,37.568461,129.1130723
1,어드벤처 동해지사,일반,진모래횟집,37.554239,129.1199939
1,어성호,해양레저,티피캠핑장,38.295938,128.5444837
1,어촌민속전시관,일반,화로명가,37.230749,129.3404228
1,얼라잇서프(구 아나하서프),해양레저,하늘빛 펜션 ,38.328636,128.5231482
1,엉클서프,해양레저,카미,37.970104,128.7572511
1,에이앤티레저 강릉제트보트,해양레저,카페am브레드앤 커피,37.772395,128.9433397
1,에코다이버스,해양레저,이스트사이드바이브클럽,38.245968,128.5633479
1,여가의뜰 블루베리농장,일반,김가네고기집,38.3806,128.4593387
1,엑스포타워,일반,완도회식당,38.195638,128.5688618
1,엠엔샵,해양레저,씨마크호텔,37.797952,128.915332
1,테디베어팜,일반,대원할머니 순두부 ,38.206151,128.5203977
1,테라크랩팜,일반,시골이모순두부,38.20655,128.5175359
1,여래사,일반,한서방칼국수,37.167694,129.0030035
1,연필 뮤지엄,일반,용궁해물전문점,37.546561,129.1066066
1,영은사,일반,노이마레,37.3447341,129.260822
1,오분해변,일반,카페오분동,37.423777,129.1929715
1,오산리선사유적박물관,일반,쏠비치호텔,38.086874,128.665653
1,오션서프,해양레저,정원민박펜션,38.128124,128.6243207
1,오죽헌,일반,카페청풍,37.778735,128.8757112
1,와이키키서프,해양레저,감성충전소,38.057328,128.682929
1,외옹치해수욕장,일반,등대생선구이,38.202124,128.5899104
1,요서프,해양레저,아침바다펜션,38.32430415,128.5253211
1,욜로하서프&하우스카페,해양레저,인구시장,37.968072,128.7521051
1,용산서원,일반,뚱보네 푸줏간,37.521921,129.1010339
1,용화해수욕장,일반,라메르펜션,37.2903845,129.3007937
1,울산바위,일반,옛날숯불녹원갈비,38.2017985,128.5751552
1,원더서프,해양레저,해쉼터카페 ,38.2017985,128.5227051
1,원더스카이,일반,세인트존스호텔,37.7912807,128.921144
1,원평해수욕장,일반,방울네민박,37.3201354,129.2699627
1,원포리해변,일반,물치 모텔,38.152732,128.6030408
1,월산미술관,일반,꽃피는산골,37.4636626,129.0214666
1,월천해수욕장,일반,젤리피쉬펜션,37.1627269,129.3441621
1,위너서프,해양레저,워너비하우스 ,38.3274909,128.5229895
1,이기붕별장,일반,화진포박포수막국수,37.175306,128.4177167
1,이사부사자공원,일반,플라밍고,37.4743597,129.1613049
1,이스트사이드서프,해양레저,줄리스 알 커피,37.9721703,128.760762
1,이승만별장,일반,마추깡 카페,38.438884,128.4497566
1,이천폭포,일반,영화춘,37.175306,129.3041053
1,인구서프,해양레저,인구술집,37.9680651,128.7577716
1,인구해수욕장,일반,양양 바라던바다 오션뷰 펜션,38.1387378,128.6150521
1,일현미술관,일반,최고횟집,38.0593467,128.681382
1,임원해수욕장,일반,해송펜션,38.054274,129.3395091
1,자매도시공원,일반,도로시의정원,37.5516908,129.1036975
1,작은후진해변,일반,배나들,37.4638473,129.1756984
1,장호해수욕장,일반,나폴리펜션,38.2875137,129.3145987
